level,mean_V,std_V
400,1.7534537755e-03,6.0557603102e-04
405,1.7631329673e-03,5.9189925180e-04
410,1.7672415114e-03,5.9431792618e-04
415,1.6893705137e-03,5.9024809239e-04
420,1.7767525297e-03,5.9759810391e-04
425,1.8146489178e-03,5.9300955705e-04
430,1.7549259162e-03,5.9404244704e-04
435,1.8752796075e-03,5.9043080877e-04
440,1.7954249303e-03,5.9459660815e-04
445,1.9452443276e-03,5.9665630301e-04
450,1.8932373298e-03,5.9350785137e-04
455,2.0205244109e-03,5.9542476011e-04
460,2.0691712248e-03,6.0236554158e-04
465,2.2091612081e-03,5.9508328303e-04
470,2.2611583002e-03,5.9750491246e-04
475,2.3206607612e-03,5.9754465206e-04
480,2.4876593591e-03,5.9416186461e-04
485,2.5301537342e-03,6.0526483142e-04
490,2.8475508749e-03,6.0705671984e-04
495,2.9401712245e-03,6.0287124931e-04
500,2.9577745534e-03,6.0758463242e-04
505,3.0581872135e-03,6.0337032004e-04
510,3.2522274461e-03,6.1216443746e-04
515,3.4796941261e-03,6.0479864585e-04
520,3.6369545287e-03,6.2353565039e-04
525,3.8063777645e-03,6.1356165159e-04
530,4.0139040879e-03,6.3884911023e-04
535,4.1111627727e-03,6.0991614274e-04
540,4.4267710200e-03,6.2396179913e-04
545,4.6459087029e-03,6.1737129339e-04
550,4.8689784332e-03,6.2082052092e-04
555,5.1681997233e-03,6.2627473675e-04
560,5.3422219815e-03,6.3616928316e-04
565,5.5372650885e-03,6.3110476761e-04
570,5.8960004192e-03,6.3977059145e-04
575,6.1054619142e-03,6.4292672911e-04
580,6.3676899703e-03,6.5051184159e-04
585,6.7163304396e-03,6.4406348532e-04
590,7.0360258123e-03,6.4943485518e-04
595,7.2006774182e-03,6.7906810770e-04
600,7.6040068776e-03,7.3139029471e-04
605,7.6507933142e-03,6.8199237402e-04
610,7.9840777860e-03,6.8219113133e-04
615,8.3195548652e-03,7.3121110510e-04
620,8.7151962415e-03,7.1613953408e-04
625,8.5792598413e-03,6.7266861218e-04
630,8.8831311995e-03,7.0819908880e-04
635,9.2662345374e-03,7.2862232284e-04
640,9.5872681038e-03,8.0735092833e-04
645,9.7298594879e-03,6.9011637223e-04
650,1.0041666472e-02,6.9101534431e-04
655,1.0475375398e-02,6.9817838558e-04
660,1.0755062038e-02,7.2331925934e-04
665,1.0999815266e-02,8.1052966736e-04
670,1.1156282242e-02,7.3800099877e-04
675,1.1187272794e-02,7.2950352817e-04
680,1.1961272106e-02,7.4455487787e-04
685,1.1907924763e-02,7.3228772650e-04
690,1.2269627680e-02,7.2101484748e-04
695,1.2305826114e-02,7.5734045138e-04
700,1.2673016817e-02,6.9548495649e-04
705,1.2535515575e-02,8.0434620739e-04
710,1.3085272484e-02,7.3944069466e-04
715,1.3681538749e-02,7.5904793630e-04
720,1.3450950358e-02,7.3453507140e-04
725,1.3675519251e-02,7.9127296034e-04
730,1.3839426443e-02,7.8498892220e-04
735,1.3788233476e-02,7.6935104343e-04
740,1.4215966268e-02,8.3879903008e-04
745,1.4430641015e-02,7.6934728025e-04
750,1.4779476480e-02,7.8188019906e-04
755,1.4932673732e-02,9.3189991734e-04
760,1.5239289411e-02,7.6916603102e-04
765,1.5359631568e-02,7.8252188738e-04
770,1.5170981866e-02,8.1585188010e-04
775,1.5688074836e-02,8.7061023533e-04
780,1.5376199050e-02,7.4342862346e-04
785,1.5761889030e-02,7.8617176060e-04
790,1.5574138792e-02,7.9384992157e-04
795,1.6044370962e-02,7.7238619321e-04
800,1.5788339389e-02,9.0450002074e-04
805,1.6157823480e-02,7.5721461936e-04
810,1.6237166296e-02,9.4515919861e-04
815,1.5942599736e-02,8.7580168161e-04
820,1.6252139186e-02,9.7453147391e-04
825,1.6564799204e-02,9.4361938020e-04
830,1.6322123460e-02,8.2097216210e-04
835,1.6373926618e-02,8.0662962102e-04
840,1.6442356878e-02,7.8595469542e-04
845,1.6555654508e-02,8.8194711464e-04
850,1.6531144827e-02,8.0010723723e-04
855,1.6799175866e-02,8.3192541777e-04
860,1.6362329489e-02,7.6106668406e-04
865,1.6325732832e-02,8.3678161527e-04
870,1.6281839403e-02,7.8053672448e-04
875,1.6405612301e-02,8.1063685596e-04
880,1.6540063430e-02,8.0015047817e-04
885,1.6903779407e-02,7.8383858888e-04
890,1.6307433806e-02,7.6310201408e-04
895,1.6844998943e-02,8.8346749924e-04
900,1.6374644796e-02,7.5672444057e-04
